Package,APK_Path,Category,Risk_Score
com.motorola.android.launcher.overlay.tmo.rcs.apptray,/product/overlay/folderTmoAppTray_google_rcs.apk,Other,0
com.motorola.android.launcher.overlay.tmonosim.rcs.apptray,/product/overlay/folderTmoNoSIMAppTray_google_rcs.apk,Other,0
com.motorola.android.launcher.overlay.vivo,/product/overlay/MotoLauncherOverlayVivo.apk,Other,0
com.motorola.android.launcher.overlay.vzw,/product/overlay/MotoLauncherOverlayVerizon.apk,Other,0
com.motorola.android.nativedropboxagent,/system_ext/priv-app/com.motorola.android.nativedropboxagent/com.motorola.android.nativedropboxagent.apk,Other,0
com.motorola.android.networkstack.overlay.mcc460,/product/overlay/NetworkStackMcc460Overlay.apk,Other,0
com.motorola.android.networkstack.tethering.overlay.motCommon,/product/overlay/TetheringOverlay.apk,Other,0
com.motorola.android.overlay.appclone,/product/overlay/MotoFrameworkResAppcloneOverlay.apk,Other,0
com.motorola.android.overlay.common,/product/overlay/MotoFrameworkResOverlayCommon.apk,Other,0
com.motorola.android.overlay.crystaltalkai,/product/overlay/MotoFrameworkResOverlayCrystalTalkAI.apk,Other,0
com.motorola.android.overlay.fogo,/product/overlay/FrameworkResOverlayFogo.apk,Other,0
com.motorola.android.overlay.lpptoga,/product/overlay/MotoFrameworkResOverlayLPPtoGA.apk,Other,0
com.motorola.android.overlay.midram,/product/overlay/MotoFrameworkResOverlayMidRam.apk,Other,0
com.motorola.android.overlay.qcom.common,/product/overlay/MotoFrameworkResOverlayQcomCommon.apk,Other,0
com.motorola.android.overlay.tmo,/product/overlay/MotoFrameworkResOverlayTMO.apk,Other,0
com.motorola.android.providers.chromehomepage,/system_ext/priv-app/ChromeHomePageProvider/ChromeHomePageProvider.apk,Other,0
com.motorola.android.providers.settings,/system_ext/priv-app/MotorolaSettingsProvider/MotorolaSettingsProvider.apk,Other,0
com.motorola.android.providers.settings.auto_generated_rro_product__,/product/overlay/MotorolaSettingsProvider__fogo_g__auto_generated_rro_product.apk,Other,0
com.motorola.android.providers.settings.overlay.dppcamera,/product/overlay/MotoSettingsProviderOverlayDPPCamera.apk,Other,0
com.motorola.android.providers.settings.overlay.dppnone,/product/overlay/MotoSettingsProviderOverlayDPPNone.apk,Other,0
com.motorola.android.providers.settings.overlay.tmo,/product/overlay/MotoSettingsProviderOverlayTMO.apk,Other,0
com.motorola.android.provisioning,/product/priv-app/OMAProvisioning/OMAProvisioning.apk,Other,0
com.motorola.android.server.telecom.overlay.gms.boost,/product/overlay/MotoTelecommOverlayGmsBOOST.apk,Other,0
com.motorola.android.server.telecom.overlay.jp,/product/overlay/MotoTelecommOverlayJP.apk,Other,0
com.motorola.android.server.telecom.overlay.tmo,/product/overlay/MotoTelecommOverlayTMO.apk,Other,0
com.motorola.android.settings.overlay.appclone,/product/overlay/MotoSettingsAppCloneOverlay.apk,Other,0
com.motorola.android.settings.overlay.att,/product/overlay/MotoSettingsOverlayATT.apk,Other,0
com.motorola.android.settings.overlay.fps.side,/product/overlay/MotoSettingsFPSSideOverlay.apk,Other,0
com.motorola.android.settings.overlay.global,/product/overlay/MotoSettingsGlobalOverlay.apk,Other,0
com.motorola.android.settings.overlay.power.bottom,/product/overlay/MotoSettingsPowerBottomOverlay.apk,Other,0
com.motorola.android.settings.overlay.tmo,/product/overlay/MotoSettingsOverlayTMO.apk,Other,0
com.motorola.android.settings.overlay.vzw,/product/overlay/MotoSettingsOverlayVZW.apk,Other,0
com.motorola.android.systemui.overlay.att,/product/overlay/MotoSystemUIOverlayATT/MotoSystemUIOverlayATT.apk,Other,0
com.motorola.android.systemui.overlay.sprint,/product/overlay/MotoSystemUIOverlaySPRINT/MotoSystemUIOverlaySPRINT.apk,Other,0
com.motorola.android.systemui.overlay.tmo,/product/overlay/MotoSystemUIOverlayTMO/MotoSystemUIOverlayTMO.apk,Other,0
com.motorola.android.systemui.overlay.usc,/product/overlay/MotoSystemUIOverlayUSC/MotoSystemUIOverlayUSC.apk,Other,0
com.motorola.android.systemui.overlay.vzw,/product/overlay/MotoSystemUIOverlayVZW/MotoSystemUIOverlayVZW.apk,Other,0
com.motorola.appdirectedsmsproxy,/system/priv-app/AppDirectedSmsProxy/AppDirectedSmsProxy.apk,Other,0
com.motorola.appforecast,/product/priv-app/MotoAppForecast/MotoAppForecast.apk,Other,0
com.motorola.att.phone.extensions,/product/priv-app/AttPhoneExt/AttPhoneExt.apk,Other,0
com.motorola.att.sim.extensions,/product/priv-app/AttSUWSimExtns/AttSUWSimExtns.apk,Other,0
com.motorola.attvowifi,/product/priv-app/Vowifi/Vowifi.apk,Other,0
com.motorola.audiorecorder,/product/app/AudioRecorder/AudioRecorder.apk,Other,0
com.motorola.bach.modemstats,/system_ext/priv-app/ModemStatsService/ModemStatsService.apk,Other,0
com.motorola.brapps,/product/priv-app/BRApps2/BRApps2.apk,Other,0
com.motorola.bug2go,/system_ext/priv-app/Bug2GoStub/Bug2GoStub.apk,Other,0
com.motorola.callredirectionservice,/product/priv-app/CallRedirectionService/CallRedirectionService.apk,Other,0
